+-----------------------------------------------------------------------------------------+--------------------------------+-------+-------+--------------------------------------------------------------------------------------------------+
| Title                                                                                   | Author                         | Score | Price | Link                                                                                             |
| Learning Web Development from Scratch: The Ultimate Bootcamp                            | DEVELOPMENT ISLAND             | 4.2   | $9.9  | https://www.bitdegree.org/course/learning-web-development                                        |
| Elm Language: Learn Elm Programming & Expand Your Opportunities!                        | Mammoth Interactive            | 5.0   | $9.9  | https://www.bitdegree.org/course/elm-language                                                    |
| ES6 Tutorial for Beginners: From the Basics to Advanced                                 | Mammoth Interactive            | 5.0   | $9.9  | https://www.bitdegree.org/course/es6-tutorial                                                    |
| React Tutorial: The Ultimate Guide                                                      | Mammoth Interactive            | 1.0   | $21.  | https://www.bitdegree.org/course/react-tutorial                                                  |
| JavaScript Beginner Project: How to Make a Web App with JavaScript                      | Ahmed Ibrahim                  | 5.0   | $9.9  | https://www.bitdegree.org/course/how-to-make-a-web-app                                           |
| SharePoint Tutorial for Beginners                                                       | Thangeswari Navaneethakrishnan | 5.0   | $9.9  | https://www.bitdegree.org/course/sharepoint-tutorial                                             |
| Web Application Development Tutorial: .NET Course For Beginners                         | Ion Cosmin Grigore             | 5.0   | $15.  | https://www.bitdegree.org/course/web-application                                                 |
| Advanced CodeIgniter concepts in building your own E-commerce project                   | Shakzee Arain                  | 5.0   | $9.9  | https://www.bitdegree.org/course/codeigniter                                                     |
| Advanced JavaScript Course: Working with JavaScript Libraries                           | Shay Tavor                     | 5.0   | $9.9  | https://www.bitdegree.org/course/advanced-javascript                                             |
| How to make a website from scratch for a beginner?                                      | Tatiana Minina                 | 4.2   | Free  | https://www.bitdegree.org/course/how-to-make-a-website-from-scratch                              |
| Learn JavaScript from scratch: Make your websites interactive!                          | Let's Kode It Kode It          | 4.0   | $13.  | https://www.bitdegree.org/course/learn-javascript                                                |
| Build a  secure PHP login page with email activation for any website                    | Jazeb Akram                    | 5.0   | $60.  | https://www.bitdegree.org/course/php-login-page                                                  |
| ASP.NET Core Tutorial: Learn Web Development                                            | Reynald Adolphe                | 5.0   | $19.  | https://www.bitdegree.org/course/asp-net-core-tutorial                                           |
| How to Use Sublime Text 3 Like a Pro: Sublime Text Tutorial                             | Rana Shahzad Ahmad Khan        | 5.0   | $9.9  | https://www.bitdegree.org/course/how-to-use-sublime-text                                         |
| Simple JavaScript Projects For Beginners: Get Excellent Skills On The Fly!              | Jazeb Akram                    | 5.0   | $80.  | https://www.bitdegree.org/course/javascript-projects-for-beginners                               |
| CSS Animation Tutorial: Bring Interactivity into Your UI/UX                             | Jazeb Akram                    | 5.0   | $75.  | https://www.bitdegree.org/course/css-animation-tutorial                                          |
| React-Redux Tutorial for Beginners: Installation, Basics and More!                      | Mammoth Interactive            | 5.0   | $21.  | https://www.bitdegree.org/course/react-redux-tutorial                                            |
| Beginner Friendly Angular Tutorial: Learn Angular 7 in 8 hours                          | Shivprasad Koirala             | 3.2   | $9.9  | https://www.bitdegree.org/course/angular-tutorial                                                |
| A Complete Python Flask Tutorial on Main Principles and Making Your First Web Apps      | Frank Anemaet                  | 5.0   | $9.9  | https://www.bitdegree.org/course/python-flask-tutorial                                           |
| The Ultimate Razor Pages and Blazor Tutorial: Using C# for Front-End                    | Taurius Litvinavicius          | 5.0   | $14.  | https://www.bitdegree.org/course/blazor-tutorial                                                 |
| The Must-See Sass Tutorial for Any Front-End Whiz                                       | LearnToProgram                 | 5.0   | $11.  | https://www.bitdegree.org/course/sass-tutorial                                                   |
| Bootstrap and PHP Blog Tutorial Step by Step                                            | BitDegree Foundation VSI ©     | 4.2   | Free  | https://www.bitdegree.org/course/php-blog-tutorial                                               |
| Node JS Website Tutorial on Building a Website from Scratch                             | Eldor Togaymurotov             | 5.0   | $4.9  | https://www.bitdegree.org/course/node-js-website-tutorial                                        |
| OWASP Online Training: the Best Practices of Secure Coding                              | Digest Academy                 | 4.4   | $7.9  | https://www.bitdegree.org/course/secure-coding                                                   |
| Secure Coding on Frontend: Best Practices                                               | Digest Academy                 | 4.4   | $7.9  | https://www.bitdegree.org/course/secure-coding-practices                                         |
| Learn JavaScript. Quick Course for Beginners                                            | Laurence Svekis                | 4.4   | Free  | https://www.bitdegree.org/course/javascript-learn-javascript-quick-course-beginners              |
| API Quiz Game - JavaScript Project using Google Sheet Data                              | Laurence Svekis                | 5.0   | $10.  | https://www.bitdegree.org/course/api-quiz-game-javascript-project-using-google-sheet-data        |
+-----------------------------------------------------------------------------------------+--------------------------------+-------+-------+--------------------------------------------------------------------------------------------------+
